ID,STIX ID,name,description,url,created,last modified,domain,version,relationship citations
M1042,course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,https://attack.mitre.org/mitigations/M1042,11 June 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Microsoft Disable Autorun),(Citation: TechNet Removable Media Control),(Citation: Microsoft Learn ClickOnce Config),(Citation: Microsoft BEC Campaign),(Citation: Electron Security 2),(Citation: Apple Unified Log Analysis Remote Login and Screen Sharing),(Citation: GitHub MOTW),(Citation: TechNet Screensaver GP),(Citation: Gmail Delegation),(Citation: ITSyndicate Disabling PHP functions),(Citation: Microsoft Network access Credential Manager),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: ADSecurity Windows Secure Baseline),(Citation: Microsoft Disable Macros),(Citation: SpecterOps Certified Pre Owned),(Citation: BleepingComputer DDE Disabled in Word Dec 2017),(Citation: Microsoft Disable DCOM),(Citation: Symantec SSH and ssh-agent),(Citation: Microsoft DDE Advisory Nov 2017),(Citation: NetSPI ClickOnce),(Citation: Amazon AWS IMDS V2),(Citation: Microsoft ADV170021 Dec 2017),(Citation: MRWLabs Office Persistence Add-ins),(Citation: Microsoft Disable VBA Jan 2020),(Citation: Microsoft AlwaysInstallElevated 2018)"
M1055,course-of-action--787fb64d-c87b-4ee5-a341-0ef17ec4c15c,Do Not Mitigate,This category is to associate techniques that mitigation might increase risk of compromise and therefore mitigation is not recommended.,https://attack.mitre.org/mitigations/M1055,19 July 2019,23 July 2019,enterprise-attack,1.0,
M1041,course-of-action--feff9142-e8c2-46f4-842b-bd6fb3d41157,Encrypt Sensitive Information,Protect sensitive information with strong encryption.,https://attack.mitre.org/mitigations/M1041,11 June 2019,11 June 2019,enterprise-attack,1.0,"(Citation: Google Cloud Encryption Key Rotation),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: Microsoft Primary Refresh Token),(Citation: Amazon S3 Security, 2019),(Citation: Microsoft Azure Storage Security, 2019),(Citation: SpecterOps Certified Pre Owned),(Citation: Metcalf 2015)"
M1039,course-of-action--609191bf-7d06-40e4-b1f8-9e11eb3ff8a6,Environment Variable Permissions,Prevent modification of environment variables by unauthorized users and groups.,https://attack.mitre.org/mitigations/M1039,11 June 2019,11 June 2019,enterprise-attack,1.0,(Citation: Securing bash history)
M1038,course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",https://attack.mitre.org/mitigations/M1038,11 June 2019,17 October 2024,enterprise-attack,1.2,"(Citation: Kernel.org Restrict Kernel Module),(Citation: file_upload_attacks_pt2),(Citation: Beechey 2010),(Citation: Wikibooks Grsecurity),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: SANS Application Whitelisting),(Citation: Microsoft WDAC),(Citation: Kubernetes Hardening Guide),(Citation: Kubernetes Security Context),(Citation: Microsoft Using Software Restriction ),(Citation: TechNet Applocker vs SRP),(Citation: Kernel Self Protection Project),(Citation: LKM loading kernel restrictions),(Citation: Microsoft Application Lockdown),(Citation: Technospot Chrome Extensions GP),(Citation: Windows Commands JPCERT),(Citation: Microsoft PowerShell CLM),(Citation: Microsoft ISAPICGIRestriction 2016),(Citation: NSA MS AppLocker),(Citation: Increasing Linux kernel integrity),(Citation: Dormann Dangers of VHD 2019),(Citation: Microsoft Windows Defender Application Control),(Citation: Electron Security 3),(Citation: Corio 2008),(Citation: Default VBS macros Blocking ),(Citation: Microsoft Driver Block Rules)"
M1050,course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,https://attack.mitre.org/mitigations/M1050,11 June 2019,20 June 2020,enterprise-attack,1.1,"(Citation: Windows Commands JPCERT),(Citation: TechNet Moving Beyond EMET),(Citation: Secure Host Baseline EMET),(Citation: NSA MS AppLocker),(Citation: Corio 2008),(Citation: Beechey 2010),(Citation: Microsoft Windows Defender Application Control),(Citation: Wikipedia Control Flow Integrity),(Citation: TechNet Applocker vs SRP)"
M1037,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.,https://attack.mitre.org/mitigations/M1037,11 June 2019,17 October 2024,enterprise-attack,1.1,"(Citation: RedLock Instance Metadata API 2018),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Microsoft SMB Packet Signing),(Citation: ntlm_relaying_kerberos_del),(Citation: byt3bl33d3r NTLM Relaying),(Citation: US-CERT APT Energy Oct 2017),(Citation: CERT-EU DDoS March 2017),(Citation: US-CERT SMB Security),(Citation: Cisco ARP Poisoning Mitigation 2016),(Citation: Microsoft Preventing SMB),(Citation: Secure Ideas SMB Relay),(Citation: Juniper DAI 2020)"
M1035,course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.",https://attack.mitre.org/mitigations/M1035,11 June 2019,09 June 2020,enterprise-attack,1.0,"(Citation: Docker Daemon Socket Protect),(Citation: Kubernetes API Control Access),(Citation: Wikipedia 802.1x),(Citation: Microsoft AKS Azure AD 2023),(Citation: TechNet RDP Gateway),(Citation: Kubernetes Cloud Native Security)"
M1034,course-of-action--2995bc22-2851-4345-ad19-4e7e295be264,Limit Hardware Installation,"Block users or groups from installing or using unapproved hardware on systems, including USB devices.",https://attack.mitre.org/mitigations/M1034,11 June 2019,09 June 2020,enterprise-attack,1.0,
M1033,course-of-action--23843cff-f7b9-4659-a7b7-713ef347f547,Limit Software Installation,Block users or groups from installing unapproved software.,https://attack.mitre.org/mitigations/M1033,11 June 2019,17 October 2024,enterprise-attack,1.0,(Citation: Cider Security Top 10 CICD Security Risks)
M1032,course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.,https://attack.mitre.org/mitigations/M1032,10 June 2019,21 October 2022,enterprise-attack,1.0,"(Citation: Microsoft Nobelium Admin Privileges),(Citation: Expel IO Evil in AWS),(Citation: CISA MFA PrintNightmare),(Citation: Evilginx 2 July 2018),(Citation: Microsoft - Device Registration),(Citation: MFA Fatigue Attacks - PortSwigger),(Citation: Berkley Secure),(Citation: Amazon S3 Security, 2019),(Citation: Mandiant APT29 Microsoft 365 2022),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: AWS - IAM Console Best Practices)"
M1031,course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.,https://attack.mitre.org/mitigations/M1031,10 June 2019,17 October 2024,enterprise-attack,1.0,"(Citation: dhcp_serv_op_events),(Citation: US-CERT-TA18-106A),(Citation: Cybereason Dissecting DGAs),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: Anomali Template Injection MAR 2018),(Citation: Cisco Umbrella DGA Brute Force),(Citation: Akamai DGA Mitigation),(Citation: University of Birmingham C2)"
M1030,course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems.",https://attack.mitre.org/mitigations/M1030,10 June 2019,14 May 2020,enterprise-attack,1.1,"(Citation: NSA Spotting),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Harmj0y Domain Trusts),(Citation: TechNet Firewall Design)"
M1028,course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,https://attack.mitre.org/mitigations/M1028,06 June 2019,31 March 2023,enterprise-attack,1.2,"(Citation: Windows Anonymous Enumeration of SAM Accounts),(Citation: TechNet Removable Media Control),(Citation: Microsoft GPO Bluetooth FEB 2009),(Citation: reagentc_cmd),(Citation: UCF STIG Elevation Account Enumeration),(Citation: HowToGeek ShowExtension),(Citation: TechNet Server Operator Scheduled Task),(Citation: Windows RDP Sessions),(Citation: Apple Developer Doco Hardened Runtime),(Citation: Seqrite DoubleExtension),(Citation: Tilbury Windows Credentials),(Citation: SpectorOps Code Signing Dec 2017),(Citation: TechRepublic Wireless GPO FEB 2009),(Citation: Microsoft Disable NTLM Nov 2012),(Citation: EnableMPRNotifications),(Citation: Microsoft WDigest Mit),(Citation: TechNet RDP NLA),(Citation: Microsoft BITS)"
M1060,course-of-action--80a0e940-f683-4fbd-ac00-e9f935f2f808,Out-of-Band Communications Channel,"Establish secure out-of-band communication channels to ensure the continuity of critical communications during security incidents, data integrity attacks, or in-network communication failures. Out-of-band communication refers to using an alternative, separate communication path that is not dependent on the potentially compromised primary network infrastructure. This method can include secure messaging apps, encrypted phone lines, satellite communications, or dedicated emergency communication systems. Leveraging these alternative channels reduces the risk of adversaries intercepting, disrupting, or tampering with sensitive communications and helps coordinate an effective incident response.(Citation: TrustedSec OOB Communications)(Citation: NIST Special Publication 800-53 Revision 5)",https://attack.mitre.org/mitigations/M1060,30 August 2024,12 October 2024,enterprise-attack,1.0,(Citation: TrustedSec OOB Communications)
M1027,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,Password Policies,Set and enforce secure password policies for accounts.,https://attack.mitre.org/mitigations/M1027,06 June 2019,21 October 2022,enterprise-attack,1.0,"(Citation: Microsoft Install Password Filter n.d),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: store_pwd_rev_enc),(Citation: NIST 800-63-3),(Citation: AWS - IAM Console Best Practices),(Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet)"
M1056,course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques.",https://attack.mitre.org/mitigations/M1056,19 October 2020,20 October 2020,enterprise-attack,1.0,
M1026,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.",https://attack.mitre.org/mitigations/M1026,06 June 2019,17 October 2024,enterprise-attack,1.1,"(Citation: Microsoft Create Token),(Citation: Microsoft Remote Use of Local),(Citation: Microsoft System Wide Com Keys),(Citation: Kubernetes Service Accounts),(Citation: FireEye ADFS),(Citation: Microsoft Security Alerts for Azure AD Roles),(Citation: Microsoft Requests for Azure AD Roles in Privileged Identity Management),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Microsoft Azure security baseline for Azure Active Directory),(Citation: Microsoft Replace Process Token),(Citation: Microsoft Process Wide Com Keys),(Citation: TechNet Least Privilege),(Citation: Kubernetes Hardening Guide),(Citation: ADSecurity AD Kerberos Attacks),(Citation: CyberArk Labs Safe Mode 2016),(Citation: Protecting Microsoft 365 From On-Premises Attacks),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: Microsoft Securing Privileged Access),(Citation: TechNet Scheduling Priority),(Citation: Netspi PowerShell Execution Policy Bypass),(Citation: MagicWeb),(Citation: Mandiant Azure Run Command 2021),(Citation: FireEye WMI 2015),(Citation: Microsoft COM ACL),(Citation: Kubernetes Admission Controllers),(Citation: Tilbury Windows Credentials),(Citation: TechNet Credential Theft),(Citation: Microsoft runas),(Citation: Microsoft PS JEA)"
M1025,course-of-action--72dade3e-1cba-4182-b3b3-a77ca52f02a1,Privileged Process Integrity,"Protect processes with high privileges that can be used to interact with critical system components through use of protected process light, anti-process injection defenses, or other process integrity enforcement measures.",https://attack.mitre.org/mitigations/M1025,06 June 2019,20 May 2020,enterprise-attack,1.1,"(Citation: Microsoft LSA Protection Mar 2014),(Citation: Graeber 2014),(Citation: Microsoft Configure LSA),(Citation: Microsoft LSA)"
M1029,course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,Remote Data Storage,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.,https://attack.mitre.org/mitigations/M1029,06 June 2019,06 June 2019,enterprise-attack,1.0,(Citation: Ready.gov IT DRP)
M1022,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.,https://attack.mitre.org/mitigations/M1022,06 June 2019,20 May 2020,enterprise-attack,1.1,"(Citation: create_sym_links),(Citation: Microsoft W32Time May 2017),(Citation: InsiderThreat NTFS EA Oct 2017),(Citation: win_xml_evt_log),(Citation: cisco_deploy_rsa_keys),(Citation: Microsoft ETW May 2018),(Citation: piazza launch agent mitigation)"
M1044,course-of-action--e8242a33-481c-4891-af63-4cf3e4cf6aff,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,https://attack.mitre.org/mitigations/M1044,11 June 2019,11 June 2019,enterprise-attack,1.0,"(Citation: Microsoft More information about DLL),(Citation: Microsoft Dynamic Link Library Search Order),(Citation: Microsoft DLL Security)"
M1024,course-of-action--a2c36a5d-4058-475e-8e77-fff75e50d3b9,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.,https://attack.mitre.org/mitigations/M1024,06 June 2019,31 March 2023,enterprise-attack,1.1,"(Citation: Microsoft System Services Fundamentals),(Citation: def_ev_win_event_logging),(Citation: Microsoft W32Time May 2017)"
M1021,course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.",https://attack.mitre.org/mitigations/M1021,06 June 2019,06 June 2019,enterprise-attack,1.0,"(Citation: NetSPI ClickOnce),(Citation: Microsoft Azure AD Admin Consent)"
M1020,course-of-action--7bb5fae9-53ad-4424-866b-f0ea2a8b731d,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.,https://attack.mitre.org/mitigations/M1020,06 June 2019,06 June 2019,enterprise-attack,1.0,
M1054,course-of-action--b5dbb4c5-b0b1-40b1-80b6-e9e84ab90067,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.,https://attack.mitre.org/mitigations/M1054,19 July 2019,26 December 2023,enterprise-attack,1.2,"(Citation: Microsoft Anti Spoofing),(Citation: ACSC Email Spoofing),(Citation: Enigma Reviving DDE Jan 2018),(Citation: Chromium HSTS),(Citation: Google Workspace External Sharing),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: CyberArk Labs Safe Mode 2016),(Citation: Palo Alto Office Test Sofacy),(Citation: Token tactics),(Citation: DNS-msft),(Citation: CloudSploit - Unused AWS Regions),(Citation: AWS RE:Inforce Threat Detection 2024),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: Azure Subscription Policies),(Citation: Session Management Cheat Sheet),(Citation: Cisco Securing SNMP),(Citation: Wikipedia HPKP),(Citation: Microsoft 365 External Sharing)"
M1019,course-of-action--874c0166-e407-45c2-a1d9-e4e3a6570fd8,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.,https://attack.mitre.org/mitigations/M1019,06 June 2019,06 June 2019,enterprise-attack,1.0,
M1051,course-of-action--e5d930e9-775a-40ad-9bdb-b941d8dfe86b,Update Software,Perform regular software updates to mitigate exploitation risk.,https://attack.mitre.org/mitigations/M1051,11 June 2019,07 July 2020,enterprise-attack,1.0,"(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: NSA Spotting),(Citation: MS14-025),(Citation: SensePost Outlook Forms),(Citation: Cisco Blog Legacy Device Attacks),(Citation: Github UACMe),(Citation: SensePost Outlook Home Page)"
M1052,course-of-action--2c2ad92a-d710-41ab-a996-1db143bb4808,User Account Control,Configure Windows User Account Control to mitigate risk of adversaries obtaining elevated process access.,https://attack.mitre.org/mitigations/M1052,11 June 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Executable Installers are Vulnerable),(Citation: GitHub IAD Secure Host Baseline UAC Filtering)"
M1018,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts.",https://attack.mitre.org/mitigations/M1018,06 June 2019,20 May 2020,enterprise-attack,1.1,"(Citation: Wald0 Guide to GPOs),(Citation: Apple TN2459 Kernel Extensions),(Citation: NSA and ASD Detect and Prevent Web Shells 2020),(Citation: Amazon  AWS Temporary Security Credentials),(Citation: Crowdstrike AWS User Federation Persistence),(Citation: Kubernetes Hardening Guide),(Citation: Expel IO Evil in AWS),(Citation: UCF STIG Symbolic Links),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: Symantec BITS May 2007),(Citation: Kubernetes RBAC),(Citation: Amazon S3 Security, 2019),(Citation: Microsoft WMI Filters),(Citation: Microsoft ETW May 2018),(Citation: Office 365 Partner Relationships),(Citation: Microsoft Azure Storage Security, 2019),(Citation: Microsoft GPO Security Filtering),(Citation: MDMProfileConfigMacOS),(Citation: Mandiant M-Trends 2020),(Citation: Microsoft SolarWinds Customer Guidance)"
M1017,course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.",https://attack.mitre.org/mitigations/M1017,06 June 2019,17 October 2024,enterprise-attack,1.2,"(Citation: Re-Open windows on Mac),(Citation: SWAT-hospital),(Citation: Cyber Safety Review Board: Lapsus),(Citation: CISA Phishing)"
M1016,course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.,https://attack.mitre.org/mitigations/M1016,06 June 2019,14 July 2020,enterprise-attack,1.1,(Citation: OWASP Top 10)
