ID,STIX ID,name,description,url,created,last modified,domain,version,associated campaigns,associated campaigns citations,first seen,first seen citation,last seen,last seen citation,contributors,relationship citations
C0027,campaign--df74f7ad-b10d-431c-9f1d-a2bc18dadefa,C0027,"[C0027](https://attack.mitre.org/campaigns/C0027) was a financially-motivated campaign linked to [Scattered Spider](https://attack.mitre.org/groups/G1015) that targeted telecommunications and business process outsourcing (BPO) companies from at least June through December of 2022. During [C0027](https://attack.mitre.org/campaigns/C0027) [Scattered Spider](https://attack.mitre.org/groups/G1015) used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks.(Citation: Crowdstrike TELCO BPO Campaign December 2022)
",https://attack.mitre.org/campaigns/C0027,30 June 2023,05 July 2023,enterprise-attack,1.0,,,01 June 2022,(Citation: Crowdstrike TELCO BPO Campaign December 2022),01 December 2022,(Citation: Crowdstrike TELCO BPO Campaign December 2022),,"(Citation: Crowdstrike TELCO BPO Campaign December 2022),(Citation: Crowdstrike TELCO BPO Campaign December 2022),(Citation: Crowdstrike TELCO BPO Campaign December 2022)"
C0032,campaign--7ec2826c-0bf0-4b47-acae-fd683431a4ca,C0032,[C0032](https://attack.mitre.org/campaigns/C0032) was an extended campaign suspected to involve the [Triton](https://attack.mitre.org/software/S1009) adversaries with related capabilities and techniques focused on gaining a foothold within IT environments. This campaign occurred in 2019 and was distinctly different from the [Triton Safety Instrumented System Attack](https://attack.mitre.org/campaigns/C0030).(Citation: FireEye TRITON 2019),https://attack.mitre.org/campaigns/C0032,28 March 2024,15 April 2024,enterprise-attack,1.0,,,01 October 2014,(Citation: FireEye TRITON 2019),01 January 2017,(Citation: FireEye TRITON 2019),,"(Citation: FireEye TRITON 2019),(Citation: FireEye TRITON 2019),(Citation: FireEye TRITON 2019)"
C0033,campaign--a82bc5ad-5f95-4c6a-9f25-aaf6f476a3c4,C0033,"[C0033](https://attack.mitre.org/campaigns/C0033) was a [PROMETHIUM](https://attack.mitre.org/groups/G0056) campaign during which they used [StrongPity](https://attack.mitre.org/software/S0491) to target Android users. [C0033](https://attack.mitre.org/campaigns/C0033) was the first publicly documented mobile campaign for [PROMETHIUM](https://attack.mitre.org/groups/G0056), who previously used Windows-based techniques.(Citation: welivesec_strongpity)",https://attack.mitre.org/campaigns/C0033,28 March 2024,11 April 2024,"mobile-attack,enterprise-attack",1.0,,,01 May 2016,(Citation: securelist_strongpity),01 January 2023,(Citation: welivesec_strongpity),"Hiroki Nagahama, NEC Corporation; Manikantan Srinivasan, NEC Corporation India; Pooja Natarajan, NEC Corporation India","(Citation: Bitdefender StrongPity June 2020),(Citation: Talos Promethium June 2020),,(Citation: Bitdefender StrongPity June 2020),(Citation: Talos Promethium June 2020)"
C0004,campaign--f9cc545e-b0ef-4b92-8884-a3a4427609f6,CostaRicto,"[CostaRicto](https://attack.mitre.org/campaigns/C0004) was a suspected hacker-for-hire cyber espionage campaign that targeted multiple industries worldwide, with a large number being financial institutions. [CostaRicto](https://attack.mitre.org/campaigns/C0004) actors targeted organizations in Europe, the Americas, Asia, Australia, and Africa, with a large concentration in South Asia (especially India, Bangladesh, and Singapore), using custom malware, open source tools, and a complex network of proxies and SSH tunnels.(Citation: BlackBerry CostaRicto November 2020)",https://attack.mitre.org/campaigns/C0004,15 September 2022,05 October 2022,enterprise-attack,1.0,,,01 October 2019,(Citation: BlackBerry CostaRicto November 2020),01 November 2020,(Citation: BlackBerry CostaRicto November 2020),,"(Citation: BlackBerry CostaRicto November 2020),(Citation: BlackBerry CostaRicto November 2020),"
C0029,campaign--4fdd2487-26c1-494e-8702-ec5abe9aa1d9,Cutting Edge,"[Cutting Edge](https://attack.mitre.org/campaigns/C0029) was a campaign conducted by suspected China-nexus espionage actors, variously identified as UNC5221/UTA0178 and UNC5325, that began as early as December 2023 with the exploitation of zero-day vulnerabilities in Ivanti Connect Secure (previously Pulse Secure) VPN appliances. [Cutting Edge](https://attack.mitre.org/campaigns/C0029) targeted the U.S. defense industrial base and multiple sectors globally including  telecommunications, financial, aerospace, and technology. [Cutting Edge](https://attack.mitre.org/campaigns/C0029) featured the use of defense evasion and living-off-the-land (LoTL) techniques along with the deployment of web shells and other custom malware.(Citation: Mandiant Cutting Edge January 2024)(Citation: Volexity Ivanti Zero-Day Exploitation January 2024)(Citation: Volexity Ivanti Global Exploitation January 2024)(Citation: Mandiant Cutting Edge Part 2 January 2024)(Citation: Mandiant Cutting Edge Part 3 February 2024)",https://attack.mitre.org/campaigns/C0029,01 March 2024,28 March 2024,enterprise-attack,1.0,,,01 December 2023,(Citation: Mandiant Cutting Edge January 2024)(Citation: Volexity Ivanti Zero-Day Exploitation January 2024),01 February 2024,(Citation: Mandiant Cutting Edge Part 3 February 2024),,"(Citation: Mandiant Cutting Edge Part 2 January 2024),(Citation: Mandiant Cutting Edge January 2024),(Citation: Mandiant Cutting Edge Part 3 February 2024),(Citation: Volexity Ivanti Zero-Day Exploitation January 2024),(Citation: Volexity Ivanti Global Exploitation January 2024),(Citation: Mandiant Cutting Edge Part 2 January 2024),(Citation: Mandiant Cutting Edge January 2024),(Citation: Mandiant Cutting Edge Part 3 February 2024),(Citation: Volexity Ivanti Zero-Day Exploitation January 2024),(Citation: Volexity Ivanti Global Exploitation January 2024),"
C0001,campaign--26d9ebae-de59-427f-ae9a-349456bae4b1,Frankenstein,"[Frankenstein](https://attack.mitre.org/campaigns/C0001) was described by security researchers as a highly-targeted campaign conducted by moderately sophisticated and highly resourceful threat actors in early 2019. The unidentified actors primarily relied on open source tools, including [Empire](https://attack.mitre.org/software/S0363). The campaign name refers to the actors' ability to piece together several unrelated open-source tool components.(Citation: Talos Frankenstein June 2019)",https://attack.mitre.org/campaigns/C0001,07 September 2022,22 March 2023,enterprise-attack,1.1,,,01 January 2019,(Citation: Talos Frankenstein June 2019),01 April 2019,(Citation: Talos Frankenstein June 2019),,"(Citation: Talos Frankenstein June 2019),(Citation: Talos Frankenstein June 2019),"
C0007,campaign--8d2bc130-89fe-466e-a4f9-6bce6129c2b8,FunnyDream,"[FunnyDream](https://attack.mitre.org/campaigns/C0007) was a suspected Chinese cyber espionage campaign that targeted government and foreign organizations in Malaysia, the Philippines, Taiwan, Vietnam, and other parts of Southeast Asia. Security researchers linked the [FunnyDream](https://attack.mitre.org/campaigns/C0007) campaign to possible Chinese-speaking threat actors through the use of the [Chinoxy](https://attack.mitre.org/software/S1041) backdoor and noted infrastructure overlap with the TAG-16 threat group.(Citation: Bitdefender FunnyDream Campaign November 2020)(Citation: Kaspersky APT Trends Q1 2020)(Citation: Recorded Future Chinese Activity in Southeast Asia December 2021)",https://attack.mitre.org/campaigns/C0007,20 September 2022,10 October 2022,enterprise-attack,1.0,,,01 July 2018,(Citation: Kaspersky APT Trends Q1 2020),01 November 2020,(Citation: Bitdefender FunnyDream Campaign November 2020),,"(Citation: Bitdefender FunnyDream Campaign November 2020),(Citation: Bitdefender FunnyDream Campaign November 2020),"
C0038,campaign--7e21077d-2589-43a7-a5f9-490061289526,HomeLand Justice,"[HomeLand Justice](https://attack.mitre.org/campaigns/C0038) was a disruptive campaign involving the use of ransomware, wiper malware, and sensitive information leaks conducted by Iranian state cyber actors against Albanian government networks in July and September 2022. Initial access for [HomeLand Justice](https://attack.mitre.org/campaigns/C0038) was established in May 2021 as threat actors subsequently moved laterally, exfiltrated sensitive information, and maintained persistence for approximately 14 months prior to the attacks. Responsibility was claimed by the ""HomeLand Justice"" front whose messaging indicated targeting of the Mujahedeen-e Khalq (MEK), an Iranian opposition group who maintain a refugee camp in Albania, and were formerly designated a terrorist organization by the US State Department.(Citation: Mandiant ROADSWEEP August 2022)(Citation: Microsoft Albanian Government Attacks September 2022)(Citation: CISA Iran Albanian Attacks September 2022) A second wave of attacks was launched in September 2022 using similar tactics after public attribution of the previous activity to Iran and the severing of diplomatic ties between Iran and Albania.(Citation: CISA Iran Albanian Attacks September 2022)

",https://attack.mitre.org/campaigns/C0038,06 August 2024,31 October 2024,enterprise-attack,1.0,,,01 May 2021,(Citation: Mandiant ROADSWEEP August 2022)(Citation: Microsoft Albanian Government Attacks September 2022)(Citation: CISA Iran Albanian Attacks September 2022),01 September 2022,(Citation: CISA Iran Albanian Attacks September 2022),"Aung Kyaw Min Naing, @Nolan","(Citation: Microsoft Albanian Government Attacks September 2022),(Citation: CISA Iran Albanian Attacks September 2022),(Citation: Mandiant ROADSWEEP August 2022),(Citation: Microsoft Albanian Government Attacks September 2022),(Citation: CISA Iran Albanian Attacks September 2022),(Citation: Mandiant ROADSWEEP August 2022),(Citation: Microsoft Albanian Government Attacks September 2022)"
C0035,campaign--0c259854-4044-4f6c-ac49-118d484b3e3b,KV Botnet Activity,"[KV Botnet Activity](https://attack.mitre.org/campaigns/C0035) consisted of exploitation of primarily �end-of-life� small office-home office (SOHO) equipment from manufacturers such as Cisco, NETGEAR, and DrayTek. [KV Botnet Activity](https://attack.mitre.org/campaigns/C0035) was used by [Volt Typhoon](https://attack.mitre.org/groups/G1017) to obfuscate connectivity to victims in multiple critical infrastructure segments, including energy and telecommunication companies and entities based on the US territory of Guam. While the KV Botnet is the most prominent element of this campaign, it overlaps with another botnet cluster referred to as the JDY cluster.(Citation: Lumen KVBotnet 2023) This botnet was disrupted by US law enforcement entities in early 2024 after periods of activity from October 2022 through January 2024.(Citation: DOJ KVBotnet 2024)",https://attack.mitre.org/campaigns/C0035,10 June 2024,03 October 2024,enterprise-attack,1.0,,,01 October 2022,(Citation: Lumen KVBotnet 2023),01 January 2024,(Citation: DOJ KVBotnet 2024),,",(Citation: Lumen KVBotnet 2023),(Citation: Lumen KVBotnet 2023)"
C0002,campaign--ae407e32-87e0-4d92-8705-3ae25d504d8a,Night Dragon,"[Night Dragon](https://attack.mitre.org/campaigns/C0002) was a cyber espionage campaign that targeted oil, energy, and petrochemical companies, along with individuals and executives in Kazakhstan, Taiwan, Greece, and the United States. The unidentified threat actors searched for information related to oil and gas field production systems, financials, and collected data from SCADA systems. Based on the observed techniques, tools, and network activities, security researchers assessed the campaign involved a threat group based in China.(Citation: McAfee Night Dragon)",https://attack.mitre.org/campaigns/C0002,08 September 2022,11 April 2024,enterprise-attack,1.1,,,01 November 2009,(Citation: McAfee Night Dragon),01 February 2011,(Citation: McAfee Night Dragon),,"(Citation: McAfee Night Dragon),(Citation: McAfee Night Dragon),"
C0012,campaign--93c23946-49af-41f4-ac03-40f9ffc7419b,Operation CuckooBees,"[Operation CuckooBees](https://attack.mitre.org/campaigns/C0012) was a cyber espionage campaign targeting technology and manufacturing companies in East Asia, Western Europe, and North America since at least 2019. Security researchers noted the goal of [Operation CuckooBees](https://attack.mitre.org/campaigns/C0012), which was still ongoing as of May 2022, was likely the theft of proprietary information, research and development documents, source code, and blueprints for various technologies. Researchers assessed [Operation CuckooBees](https://attack.mitre.org/campaigns/C0012) was conducted by actors affiliated with [Winnti Group](https://attack.mitre.org/groups/G0044), [APT41](https://attack.mitre.org/groups/G0096), and BARIUM.(Citation: Cybereason OperationCuckooBees May 2022)",https://attack.mitre.org/campaigns/C0012,22 September 2022,22 March 2023,enterprise-attack,1.1,,,01 December 2019,(Citation: Cybereason OperationCuckooBees May 2022),01 May 2022,(Citation: Cybereason OperationCuckooBees May 2022),"Andrea Serrano Urea, Telef�nica Tech","(Citation: Cybereason OperationCuckooBees May 2022),(Citation: Cybereason OperationCuckooBees May 2022),"
C0022,campaign--0257b35b-93ef-4a70-80dd-ad5258e6045b,Operation Dream Job,"[Operation Dream Job](https://attack.mitre.org/campaigns/C0022) was a cyber espionage operation likely conducted by [Lazarus Group](https://attack.mitre.org/groups/G0032) that targeted the defense, aerospace, government, and other sectors in the United States, Israel, Australia, Russia, and India. In at least one case, the cyber actors tried to monetize their network access to conduct a business email compromise (BEC) operation. In 2020, security researchers noted overlapping TTPs, to include fake job lures and code similarities, between [Operation Dream Job](https://attack.mitre.org/campaigns/C0022), Operation North Star, and Operation Interception; by 2022 security researchers described [Operation Dream Job](https://attack.mitre.org/campaigns/C0022) as an umbrella term covering both Operation Interception and Operation North Star.(Citation: ClearSky Lazarus Aug 2020)(Citation: McAfee Lazarus Jul 2020)(Citation: ESET Lazarus Jun 2020)(Citation: The Hacker News Lazarus Aug 2022)",https://attack.mitre.org/campaigns/C0022,17 March 2023,11 April 2024,enterprise-attack,1.2,"Operation Interception, Operation North Star","(Citation: ESET Lazarus Jun 2020), (Citation: McAfee Lazarus Jul 2020)(Citation: McAfee Lazarus Nov 2020)",01 September 2019,(Citation: ESET Lazarus Jun 2020),01 August 2020,(Citation: ClearSky Lazarus Aug 2020),,"(Citation: ClearSky Lazarus Aug 2020),(Citation: McAfee Lazarus Nov 2020),(Citation: McAfee Lazarus Jul 2020),(Citation: ClearSky Lazarus Aug 2020),(Citation: ESET Lazarus Jun 2020),(Citation: The Hacker News Lazarus Aug 2022),(Citation: McAfee Lazarus Nov 2020),(Citation: McAfee Lazarus Jul 2020),(Citation: ClearSky Lazarus Aug 2020),(Citation: McAfee Lazarus Nov 2020),(Citation: McAfee Lazarus Jul 2020),(Citation: ESET Lazarus Jun 2020)"
C0016,campaign--4603cf2f-06d0-4970-9c5d-5071b08c817f,Operation Dust Storm,"[Operation Dust Storm](https://attack.mitre.org/campaigns/C0016) was a long-standing persistent cyber espionage campaign that targeted multiple industries in Japan, South Korea, the United States, Europe, and several Southeast Asian countries. By 2015, the [Operation Dust Storm](https://attack.mitre.org/campaigns/C0016) threat actors shifted from government and defense-related intelligence targets to Japanese companies or Japanese subdivisions of larger foreign organizations supporting Japan's critical infrastructure, including electricity generation, oil and natural gas, finance, transportation, and construction.(Citation: Cylance Dust Storm)

[Operation Dust Storm](https://attack.mitre.org/campaigns/C0016) threat actors also began to use Android backdoors in their operations by 2015, with all identified victims at the time residing in Japan or South Korea.(Citation: Cylance Dust Storm)",https://attack.mitre.org/campaigns/C0016,29 September 2022,11 April 2024,"enterprise-attack,mobile-attack",1.1,,,01 January 2010,(Citation: Cylance Dust Storm),01 February 2016,(Citation: Cylance Dust Storm),,"(Citation: Cylance Dust Storm),(Citation: Cylance Dust Storm),"
C0023,campaign--7854c1a0-f06c-4876-98a4-4bbd34751b05,Operation Ghost,"[Operation Ghost](https://attack.mitre.org/campaigns/C0023) was an [APT29](https://attack.mitre.org/groups/G0016) campaign starting in 2013 that included operations against ministries of foreign affairs in Europe and the Washington, D.C. embassy of a European Union country. During [Operation Ghost](https://attack.mitre.org/campaigns/C0023), [APT29](https://attack.mitre.org/groups/G0016) used new families of malware and leveraged web services, steganography, and unique C2 infrastructure for each victim.(Citation: ESET Dukes October 2019)
",https://attack.mitre.org/campaigns/C0023,23 March 2023,06 April 2023,enterprise-attack,1.0,,,01 September 2013,(Citation: ESET Dukes October 2019),01 October 2019,(Citation: ESET Dukes October 2019),,"(Citation: ESET Dukes October 2019),(Citation: ESET Dukes October 2019),(Citation: ESET Dukes October 2019)"
C0006,campaign--4553292d-12c6-4a93-934d-12160370d4e0,Operation Honeybee,"[Operation Honeybee](https://attack.mitre.org/campaigns/C0006) was a campaign that targeted humanitarian aid and inter-Korean affairs organizations from at least late 2017 through early 2018. [Operation Honeybee](https://attack.mitre.org/campaigns/C0006) initially targeted South Korea, but expanded to include Vietnam, Singapore, Japan, Indonesia, Argentina, and Canada. Security researchers assessed the threat actors were likely Korean speakers based on metadata used in both lure documents and executables, and named the campaign ""Honeybee"" after the author name discovered in malicious Word documents.(Citation: McAfee Honeybee) ",https://attack.mitre.org/campaigns/C0006,16 September 2022,11 April 2024,enterprise-attack,1.1,,,01 August 2017,(Citation: McAfee Honeybee),01 February 2018,(Citation: McAfee Honeybee),,"(Citation: McAfee Honeybee),(Citation: McAfee Honeybee),"
C0013,campaign--37764c78-2a99-46d1-a7ea-6454b9bf93a0,Operation Sharpshooter,"[Operation Sharpshooter](https://attack.mitre.org/campaigns/C0013) was a global cyber espionage campaign that targeted nuclear, defense, government, energy, and financial companies, with many located in Germany, Turkey, the United Kingdom, and the United States. Security researchers noted the campaign shared many similarities with previous [Lazarus Group](https://attack.mitre.org/groups/G0032) operations, including fake job recruitment lures and shared malware code.(Citation: McAfee Sharpshooter December 2018)(Citation: Bleeping Computer Op Sharpshooter March 2019)(Citation: Threatpost New Op Sharpshooter Data March 2019)    ",https://attack.mitre.org/campaigns/C0013,26 September 2022,13 October 2022,enterprise-attack,1.0,,,01 September 2017,(Citation: Threatpost New Op Sharpshooter Data March 2019),01 March 2019,(Citation: Threatpost New Op Sharpshooter Data March 2019),,"(Citation: McAfee Sharpshooter December 2018),(Citation: Bleeping Computer Op Sharpshooter March 2019),(Citation: Threatpost New Op Sharpshooter Data March 2019),(Citation: McAfee Sharpshooter December 2018),(Citation: Bleeping Computer Op Sharpshooter March 2019),"
