ID,STIX ID,name,description,url,created,last modified,domain,version,contributors,platforms,aliases,type,relationship citations
S0331,malware--e7a5229f-05eb-440e-b982-9a6d2b2b87c8,Agent Tesla,[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written for the .NET framework that has been observed since at least 2014.(Citation: Fortinet Agent Tesla April 2018)(Citation: Bitdefender Agent Tesla April 2020)(Citation: Malwarebytes Agent Tesla April 2020),https://attack.mitre.org/software/S0331,29 January 2019,11 September 2023,enterprise-attack,1.3,,Windows,,malware,"(Citation: Proofpoint TA2541 February 2022),(Citation: Unit42 SilverTerrier 2018),,(Citation: Bitdefender Agent Tesla April 2020),(Citation: SentinelLabs Agent Tesla Aug 2020),(Citation: Cofense Agent Tesla),(Citation: Fortinet Agent Tesla June 2017),(Citation: DigiTrust Agent Tesla Jan 2017),(Citation: Malwarebytes Agent Tesla April 2020),(Citation: Fortinet Agent Tesla April 2018),(Citation: Talos Agent Tesla Oct 2018)"
S0092,malware--40d3e230-ed32-469f-ba89-be70cc08ab39,Agent.btz,[Agent.btz](https://attack.mitre.org/software/S0092) is a worm that primarily spreads itself via removable devices such as USB drives. It reportedly infected U.S. military networks in 2008. (Citation: Securelist Agent.btz),https://attack.mitre.org/software/S0092,31 May 2017,30 March 2020,enterprise-attack,1.1,,Windows,,malware,",,(Citation: Securelist Agent.btz),(Citation: ThreatExpert Agent.btz)"
S1129,malware--6f6b2353-4b39-40ce-9d6d-d00b7a61e656,Akira,"[Akira](https://attack.mitre.org/software/S1129) ransomware, written in C++, is most prominently (but not exclusively) associated with the a ransomware-as-a-service entity [Akira](https://attack.mitre.org/groups/G1024).(Citation: Kersten Akira 2023)",https://attack.mitre.org/software/S1129,04 April 2024,08 April 2024,enterprise-attack,1.0,,Windows,,malware,"(Citation: Kersten Akira 2023),,(Citation: Kersten Akira 2023)"
S1025,malware--05318127-5962-444b-b900-a9dcfe0ff6e9,Amadey,[Amadey](https://attack.mitre.org/software/S1025) is a Trojan bot that has been used since at least October 2018.(Citation: Korean FSI TA505 2020)(Citation: BlackBerry Amadey 2020),https://attack.mitre.org/software/S1025,14 July 2022,07 May 2024,enterprise-attack,1.1,,Windows,,malware,"(Citation: Mandiant APT43 March 2024),(Citation: BlackBerry Amadey 2020),(Citation: Korean FSI TA505 2020),,(Citation: BlackBerry Amadey 2020),(Citation: Korean FSI TA505 2020)"
S0504,malware--5f1d4579-4e8f-48e7-860e-2da773ae432e,Anchor,[Anchor](https://attack.mitre.org/software/S0504) is one of a family of backdoor malware that has been used in conjunction with [TrickBot](https://attack.mitre.org/software/S0266) on selected high profile targets since at least 2018.(Citation: Cyberreason Anchor December 2019)(Citation: Medium Anchor DNS July 2020),https://attack.mitre.org/software/S0504,10 September 2020,04 December 2023,enterprise-attack,1.1,"Cybereason Nocturnus, @nocturnus","Linux, Windows",Anchor_DNS,malware,"(Citation: Microsoft Ransomware as a Service),,(Citation: Cyberreason Anchor December 2019),(Citation: Medium Anchor DNS July 2020)"
S1133,malware--48d96fa0-d027-45aa-a8c3-5d09f65d596d,Apostle,"[Apostle](https://attack.mitre.org/software/S1133) is malware that has functioned as both a wiper and, in more recent versions, as ransomware.  [Apostle](https://attack.mitre.org/software/S1133) is written in .NET and shares various programming and functional overlaps with [IPsec Helper](https://attack.mitre.org/software/S1132).(Citation: SentinelOne Agrius 2021)",https://attack.mitre.org/software/S1133,22 May 2024,29 August 2024,enterprise-attack,1.0,,Windows,,malware,"(Citation: SentinelOne Agrius 2021),,(Citation: SentinelOne Agrius 2021)"
S0584,malware--e2d34c63-6f5a-41f5-86a2-e2380f27f858,AppleJeus,"[AppleJeus](https://attack.mitre.org/software/S0584) is a family of downloaders initially discovered in 2018 embedded within trojanized cryptocurrency applications. [AppleJeus](https://attack.mitre.org/software/S0584) has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032), targeting companies in the energy, finance, government, industry, technology, and telecommunications sectors, and several countries including the United States, United Kingdom, South Korea, Australia, Brazil, New Zealand, and Russia. [AppleJeus](https://attack.mitre.org/software/S0584) has been used to distribute the [FALLCHILL](https://attack.mitre.org/software/S0181) RAT.(Citation: CISA AppleJeus Feb 2021)",https://attack.mitre.org/software/S0584,01 March 2021,28 September 2022,enterprise-attack,1.1,,"Windows, macOS",,malware,"(Citation: CISA AppleJeus Feb 2021),,(Citation: CISA AppleJeus Feb 2021),(Citation: ObjectiveSee AppleJeus 2019)"
S0622,malware--295721d2-ee20-4fa3-ade3-37f4146b4570,AppleSeed,"[AppleSeed](https://attack.mitre.org/software/S0622) is a backdoor that has been used by [Kimsuky](https://attack.mitre.org/groups/G0094) to target South Korean government, academic, and commercial  targets since at least 2021.(Citation: Malwarebytes Kimsuky June 2021)",https://attack.mitre.org/software/S0622,10 June 2021,15 March 2022,enterprise-attack,1.1,,"Android, Windows",,malware,"(Citation: Malwarebytes Kimsuky June 2021),(Citation: KISA Operation Muzabi),,(Citation: Malwarebytes Kimsuky June 2021),(Citation: KISA Operation Muzabi)"
S0456,malware--3161d76a-e2b2-4b97-9906-24909b735386,Aria-body,[Aria-body](https://attack.mitre.org/software/S0456) is a custom backdoor that has been used by [Naikon](https://attack.mitre.org/groups/G0019) since approximately 2017.(Citation: CheckPoint Naikon May 2020),https://attack.mitre.org/software/S0456,26 May 2020,11 April 2024,enterprise-attack,1.2,,Windows,,malware,"(Citation: Bitdefender Naikon April 2021),(Citation: CheckPoint Naikon May 2020),,(Citation: CheckPoint Naikon May 2020)"
S0099,tool--30489451-5886-4c46-90c9-0dff9adc5252,Arp,[Arp](https://attack.mitre.org/software/S0099) displays and modifies information about a system's Address Resolution Protocol (ARP) cache. (Citation: TechNet Arp),https://attack.mitre.org/software/S0099,31 May 2017,25 July 2023,enterprise-attack,1.2,,"Linux, Windows, macOS",arp.exe,tool,"(Citation: Kaspersky Turla),(Citation: Symantec Orangeworm April 2018),(Citation: Cybereason Cobalt Kitty 2017),(Citation: Mandiant Suspected Turla Campaign February 2023),(Citation: TechNet Arp),(Citation: Palo Alto ARP)"
S0373,malware--edb24a93-1f7a-4bbf-a738-1397a14662c6,Astaroth,"[Astaroth](https://attack.mitre.org/software/S0373) is a Trojan and information stealer known to affect companies in Europe, Brazil, and throughout Latin America. It has been known publicly since at least late 2017. (Citation: Cybereason Astaroth Feb 2019)(Citation: Cofense Astaroth Sept 2018)(Citation: Securelist Brazilian Banking Malware July 2020)",https://attack.mitre.org/software/S0373,17 April 2019,25 September 2024,enterprise-attack,2.3,"Carlos Borges, @huntingneo, CIP",Windows,Guildma,malware,",,(Citation: Cofense Astaroth Sept 2018),(Citation: Securelist Brazilian Banking Malware July 2020),(Citation: Cybereason Astaroth Feb 2019)"
S1087,tool--6a5947f3-1a36-4653-8734-526df3e1d28d,AsyncRAT,[AsyncRAT](https://attack.mitre.org/software/S1087) is an open-source remote access tool originally available through the NYANxCAT Github repository that has been used in malicious campaigns.(Citation: Morphisec Snip3 May 2021)(Citation: Cisco Operation Layover September 2021)(Citation: Telefonica Snip3 December 2021),https://attack.mitre.org/software/S1087,20 September 2023,10 October 2023,enterprise-attack,1.0,Aaron Jornet,Windows,,tool,"(Citation: Cisco Operation Layover September 2021),(Citation: Telefonica Snip3 December 2021),(Citation: Morphisec Snip3 May 2021),(Citation: Proofpoint TA2541 February 2022),,(Citation: Telefonica Snip3 December 2021),(Citation: AsyncRAT GitHub)"
S0438,malware--8f423bd7-6ca7-4303-9e85-008c7ad5fdaa,Attor,[Attor](https://attack.mitre.org/software/S0438) is a Windows-based espionage platform that has been seen in use since 2013. [Attor](https://attack.mitre.org/software/S0438) has a loadable plugin architecture to customize functionality for specific targets.(Citation: ESET Attor Oct 2019),https://attack.mitre.org/software/S0438,06 May 2020,11 April 2024,enterprise-attack,1.1,ESET,Windows,,malware,",,(Citation: ESET Attor Oct 2019)"
S1029,malware--3e4e2c79-2b27-4245-a5c1-5586a3cbd8f5,AuTo Stealer,[AuTo Stealer](https://attack.mitre.org/software/S1029) is malware written in C++ has been used by [SideCopy](https://attack.mitre.org/groups/G1008) since at least December 2021 to target government agencies and personnel in India and Afghanistan.(Citation: MalwareBytes SideCopy Dec 2021),https://attack.mitre.org/software/S1029,07 August 2022,24 August 2022,enterprise-attack,1.0,,Windows,,malware,",,(Citation: MalwareBytes SideCopy Dec 2021)"
S0347,malware--24b4ce59-eaac-4c8b-8634-9b093b7ccd92,AuditCred,[AuditCred](https://attack.mitre.org/software/S0347) is a malicious DLL that has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032) during their 2018 attacks.(Citation: TrendMicro Lazarus Nov 2018),https://attack.mitre.org/software/S0347,30 January 2019,11 April 2024,enterprise-attack,1.2,,Windows,Roptimizer,malware,"(Citation: TrendMicro Lazarus Nov 2018),,(Citation: TrendMicro Lazarus Nov 2018)"
S0129,malware--f5352566-1a64-49ac-8f7f-97e1d1a03300,AutoIt backdoor,[AutoIt backdoor](https://attack.mitre.org/software/S0129) is malware that has been used by the actors responsible for the MONSOON campaign. The actors frequently used it in weaponized .pps files exploiting CVE-2014-6352. (Citation: Forcepoint Monsoon) This malware makes use of the legitimate scripting language for Windows GUI automation with the same name.,https://attack.mitre.org/software/S0129,31 May 2017,30 March 2020,enterprise-attack,1.1,,Windows,,malware,"(Citation: Symantec Elfin Mar 2019),(Citation: Forcepoint Monsoon),,(Citation: Forcepoint Monsoon)"
S0640,malware--58c5a3a1-928f-4094-9e98-a5a4e56dd5f3,Avaddon,[Avaddon](https://attack.mitre.org/software/S0640) is ransomware written in C++ that has been offered as Ransomware-as-a-Service (RaaS) since at least June 2020.(Citation: Awake Security Avaddon)(Citation: Arxiv Avaddon Feb 2021),https://attack.mitre.org/software/S0640,23 August 2021,18 October 2021,enterprise-attack,1.0,"Matt Brenton, Zurich Global Information Security",Windows,,malware,",,(Citation: Awake Security Avaddon),(Citation: Hornet Security Avaddon June 2020),(Citation: Arxiv Avaddon Feb 2021)"
S0473,malware--36ede314-7db4-4d09-b53d-81bbfbe5f6f8,Avenger,[Avenger](https://attack.mitre.org/software/S0473) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0473,11 June 2020,11 April 2024,enterprise-attack,1.1,,Windows,,malware,"(Citation: Trend Micro Tick November 2019),,(Citation: Trend Micro Tick November 2019)"
S1053,malware--0945a1a5-a79a-47c8-9079-10c16cdfcb5d,AvosLocker,"[AvosLocker](https://attack.mitre.org/software/S1053) is ransomware written in C++ that has been offered via the Ransomware-as-a-Service (RaaS) model. It was first observed in June 2021 and has been used against financial services, critical manufacturing, government facilities, and other critical infrastructure sectors in the United States. As of March 2022, [AvosLocker](https://attack.mitre.org/software/S1053) had also been used against organizations in Belgium, Canada, China, Germany, Saudi Arabia, Spain, Syria, Taiwan, Turkey, the United Arab Emirates, and the United Kingdom.(Citation: Malwarebytes AvosLocker Jul 2021)(Citation: Trend Micro AvosLocker Apr 2022)(Citation: Joint CSA AvosLocker Mar 2022)",https://attack.mitre.org/software/S1053,11 January 2023,15 February 2023,enterprise-attack,1.0,"Flavio Costa, Cisco","Linux, Windows",,malware,",(Citation: Costa AvosLocker May 2022),(Citation: Cisco Talos Avos Jun 2022),(Citation: Joint CSA AvosLocker Mar 2022),(Citation: Malwarebytes AvosLocker Jul 2021),(Citation: Cisco Talos Avos Jun 2022),(Citation: Trend Micro AvosLocker Apr 2022),(Citation: Costa AvosLocker May 2022)"
S0344,malware--f9b05f33-d45d-4e4d-aafe-c208d38a0080,Azorult,"[Azorult](https://attack.mitre.org/software/S0344) is a commercial Trojan that is used to steal information from compromised hosts. [Azorult](https://attack.mitre.org/software/S0344) has been observed in the wild as early as 2016.
In July 2018, [Azorult](https://attack.mitre.org/software/S0344) was seen used in a spearphishing campaign against targets in North America. [Azorult](https://attack.mitre.org/software/S0344) has been seen used for cryptocurrency theft. (Citation: Unit42 Azorult Nov 2018)(Citation: Proofpoint Azorult July 2018)",https://attack.mitre.org/software/S0344,30 January 2019,13 October 2022,enterprise-attack,1.3,,Windows,,malware,"(Citation: NCC Group TA505),,(Citation: Unit42 Azorult Nov 2018),(Citation: Proofpoint Azorult July 2018)"
S0031,malware--fb261c56-b80e-43a9-8351-c84081e7213d,BACKSPACE,[BACKSPACE](https://attack.mitre.org/software/S0031) is a backdoor used by [APT30](https://attack.mitre.org/groups/G0013) that dates back to at least 2005. (Citation: FireEye APT30),https://attack.mitre.org/software/S0031,31 May 2017,30 March 2020,enterprise-attack,1.1,,Windows,Lecna,malware,"(Citation: FireEye APT30),,(Citation: FireEye APT30)"
S0245,malware--9dbdadb6-fdbf-490f-a35f-38762d06a0d2,BADCALL,[BADCALL](https://attack.mitre.org/software/S0245) is a Trojan malware variant used by the group [Lazarus Group](https://attack.mitre.org/groups/G0032). (Citation: US-CERT BADCALL),https://attack.mitre.org/software/S0245,17 October 2018,30 March 2020,enterprise-attack,1.1,,Windows,,malware,"(Citation: US-CERT BADCALL),,(Citation: Malware Analysis Report 10135536-G),(Citation: US-CERT BADCALL)"
S0642,malware--57d83eac-a2ea-42b0-a7b2-c80c55157790,BADFLICK,[BADFLICK](https://attack.mitre.org/software/S0642) is a backdoor used by [Leviathan](https://attack.mitre.org/groups/G0065) in spearphishing campaigns first reported in 2018 that targeted the U.S. engineering and maritime industries.(Citation: FireEye Periscope March 2018)(Citation: Accenture MUDCARP March 2019),https://attack.mitre.org/software/S0642,26 August 2021,15 October 2021,enterprise-attack,1.0,,Windows,,malware,"(Citation: FireEye Periscope March 2018),(Citation: Accenture MUDCARP March 2019),,(Citation: Accenture MUDCARP March 2019)"
S1081,malware--3553b49d-d4ae-4fb6-ab17-0adbc520c888,BADHATCH,"[BADHATCH](https://attack.mitre.org/software/S1081) is a backdoor that has been utilized by [FIN8](https://attack.mitre.org/groups/G0061) since at least 2019. [BADHATCH](https://attack.mitre.org/software/S1081) has been used to target the insurance, retail, technology, and chemical industries in the United States, Canada, South Africa, Panama, and Italy.(Citation: Gigamon BADHATCH Jul 2019)(Citation: BitDefender BADHATCH Mar 2021)",https://attack.mitre.org/software/S1081,01 August 2023,11 April 2024,enterprise-attack,1.1,"Serhii Melnyk, Trustwave SpiderLabs",Windows,,malware,"(Citation: BitDefender BADHATCH Mar 2021),,(Citation: Gigamon BADHATCH Jul 2019),(Citation: BitDefender BADHATCH Mar 2021)"
S0128,malware--e9595678-d269-469e-ae6b-75e49259de63,BADNEWS,"[BADNEWS](https://attack.mitre.org/software/S0128) is malware that has been used by the actors responsible for the [Patchwork](https://attack.mitre.org/groups/G0040) campaign. Its name was given due to its use of RSS feeds, forums, and blogs for command and control. (Citation: Forcepoint Monsoon) (Citation: TrendMicro Patchwork Dec 2017)",https://attack.mitre.org/software/S0128,31 May 2017,21 June 2021,enterprise-attack,1.2,,Windows,,malware,"(Citation: TrendMicro Patchwork Dec 2017),(Citation: Forcepoint Monsoon),,(Citation: PaloAlto Patchwork Mar 2018),(Citation: TrendMicro Patchwork Dec 2017),(Citation: Forcepoint Monsoon)"
S0470,malware--f0fc920e-57a3-4af5-89be-9ea594c8b1ea,BBK,[BBK](https://attack.mitre.org/software/S0470) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0470,10 June 2020,24 June 2020,enterprise-attack,1.0,,Windows,,malware,"(Citation: Trend Micro Tick November 2019),,(Citation: Trend Micro Tick November 2019)"
S0127,malware--64d76fa5-cf8f-469c-b78c-1a4f7c5bad80,BBSRAT,[BBSRAT](https://attack.mitre.org/software/S0127) is malware with remote access tool functionality that has been used in targeted compromises. (Citation: Palo Alto Networks BBSRAT),https://attack.mitre.org/software/S0127,31 May 2017,30 March 2020,enterprise-attack,1.2,,Windows,,malware,",,(Citation: Palo Alto Networks BBSRAT)"
S1136,malware--d6aefbbf-fbef-485a-973e-b5403d8f8b18,BFG Agonizer,[BFG Agonizer](https://attack.mitre.org/software/S1136) is a wiper related to the open-source project CRYLINE-v.5.0. The malware is associated with wiping operations conducted by the [Agrius](https://attack.mitre.org/groups/G1030) threat actor.(Citation: Unit42 Agrius 2023),https://attack.mitre.org/software/S1136,22 May 2024,29 August 2024,enterprise-attack,1.0,,Windows,,malware,"(Citation: Unit42 Agrius 2023),,(Citation: Unit42 Agrius 2023)"
S0017,malware--b8eb28e4-48a6-40ae-951a-328714f75eda,BISCUIT,[BISCUIT](https://attack.mitre.org/software/S0017) is a backdoor that has been used by [APT1](https://attack.mitre.org/groups/G0006) since as early as 2007. (Citation: Mandiant APT1),https://attack.mitre.org/software/S0017,31 May 2017,26 December 2023,enterprise-attack,1.3,,Windows,,malware,"(Citation: Mandiant APT1),,(Citation: Mandiant APT1 Appendix),(Citation: Mandiant APT1)"
S0190,tool--64764dc6-a032-495f-8250-1e4c06bdc163,BITSAdmin,[BITSAdmin](https://attack.mitre.org/software/S0190) is a command line tool used to create and manage [BITS Jobs](https://attack.mitre.org/techniques/T1197). (Citation: Microsoft BITSAdmin),https://attack.mitre.org/software/S0190,18 April 2018,03 August 2023,enterprise-attack,1.4,Edward Millington,Windows,,tool,"(Citation: Symantec Daggerfly 2023),(Citation: FireEye Periscope March 2018),(Citation: Mandiant FIN12 Oct 2021),(Citation: Kaspersky Ferocious Kitten Jun 2021),(Citation: TrendMicro Tropic Trooper Mar 2018),(Citation: FireEye APT41 March 2020),(Citation: Kaspersky Lyceum October 2021),,(Citation: Microsoft BITSAdmin),(Citation: Microsoft About BITS),(Citation: TrendMicro Tropic Trooper Mar 2018)"
S0069,malware--d69c8146-ab35-4d50-8382-6fc80e641d43,BLACKCOFFEE,[BLACKCOFFEE](https://attack.mitre.org/software/S0069) is malware that has been used by several Chinese groups since at least 2013. (Citation: FireEye APT17) (Citation: FireEye Periscope March 2018),https://attack.mitre.org/software/S0069,31 May 2017,04 September 2024,enterprise-attack,1.1,,Windows,,malware,"(Citation: FireEye Periscope March 2018),(Citation: FireEye APT17),(Citation: FireEye APT41 Aug 2019),,(Citation: FireEye Periscope March 2018),(Citation: FireEye APT17)"
S0520,malware--01dbc71d-0ee8-420d-abb4-3dfb6a4bf725,BLINDINGCAN,"[BLINDINGCAN](https://attack.mitre.org/software/S0520) is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against defense, engineering, and government organizations in Western Europe and the US.(Citation: US-CERT BLINDINGCAN Aug 2020)(Citation: NHS UK BLINDINGCAN Aug 2020)",https://attack.mitre.org/software/S0520,27 October 2020,11 April 2024,enterprise-attack,1.1,"Daniyal Naeem, BT Security",Windows,,malware,"(Citation: US-CERT BLINDINGCAN Aug 2020),,(Citation: US-CERT BLINDINGCAN Aug 2020),(Citation: NHS UK BLINDINGCAN Aug 2020)"
S0657,malware--8bd47506-29ae-44ea-a5c1-c57e8a1ab6b0,BLUELIGHT,[BLUELIGHT](https://attack.mitre.org/software/S0657) is a remote access Trojan used by [APT37](https://attack.mitre.org/groups/G0067) that was first observed in early 2021.(Citation: Volexity InkySquid BLUELIGHT August 2021),https://attack.mitre.org/software/S0657,01 October 2021,11 April 2024,enterprise-attack,1.1,,Windows,,malware,"(Citation: Volexity InkySquid BLUELIGHT August 2021),,(Citation: Volexity InkySquid BLUELIGHT August 2021)"
S0360,malware--d5268dfb-ae2b-4e0e-ac07-02a460613d8a,BONDUPDATER,"[BONDUPDATER](https://attack.mitre.org/software/S0360) is a PowerShell backdoor used by [OilRig](https://attack.mitre.org/groups/G0049). It was first observed in November 2017 during targeting of a Middle Eastern government organization, and an updated version was observed in August 2018 being used to target a government organization with spearphishing emails.(Citation: FireEye APT34 Dec 2017)(Citation: Palo Alto OilRig Sep 2018)",https://attack.mitre.org/software/S0360,18 February 2019,09 February 2021,enterprise-attack,1.2,,Windows,,malware,"(Citation: Palo Alto OilRig Sep 2018),(Citation: FireEye APT34 Dec 2017),,(Citation: Palo Alto OilRig Sep 2018),(Citation: FireEye APT34 Dec 2017)"
