ID,STIX ID,name,description,url,created,last modified,domain,version,contributors,associated groups,associated groups citations,relationship citations
G0114,intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,Chimera,[Chimera](https://attack.mitre.org/groups/G0114) is a suspected China-based threat group that has been active since at least 2018 targeting the semiconductor industry in Taiwan as well as data from the airline industry.(Citation: Cycraft Chimera April 2020)(Citation: NCC Group Chimera January 2021),https://attack.mitre.org/groups/G0114,24 August 2020,12 September 2024,enterprise-attack,2.2,,,,"(Citation: Cycraft Chimera April 2020),(Citation: NCC Group Chimera January 2021),(Citation: Cycraft Chimera April 2020),(Citation: NCC Group Chimera January 2021),"
G1021,intrusion-set--8b1e16f6-e7c8-4b7a-a5df-f81232c13e2f,Cinnamon Tempest,"[Cinnamon Tempest](https://attack.mitre.org/groups/G1021) is a China-based threat group that has been active since at least 2021 deploying multiple strains of ransomware based on the leaked [Babuk](https://attack.mitre.org/software/S0638) source code. [Cinnamon Tempest](https://attack.mitre.org/groups/G1021) does not operate their ransomware on an affiliate model or purchase access but appears to act independently in all stages of the attack lifecycle. Based on victimology, the short lifespan of each ransomware variant, and use of malware attributed to government-sponsored threat groups, [Cinnamon Tempest](https://attack.mitre.org/groups/G1021) may be motivated by intellectual property theft or cyberespionage rather than financial gain.(Citation: Microsoft Ransomware as a Service)(Citation: Microsoft Threat Actor Naming July 2023)(Citation: Trend Micro Cheerscrypt May 2022)(Citation: SecureWorks BRONZE STARLIGHT Ransomware Operations June 2022)",https://attack.mitre.org/groups/G1021,06 December 2023,04 April 2024,enterprise-attack,1.0,,"BRONZE STARLIGHT, DEV-0401, Emperor Dragonfly","(Citation: Dell SecureWorks BRONZE STARLIGHT Profile), (Citation: Microsoft Threat Actor Naming July 2023), (Citation: Sygnia Emperor Dragonfly October 2022)","(Citation: Sygnia Emperor Dragonfly October 2022),(Citation: Trend Micro Cheerscrypt May 2022),(Citation: Microsoft Ransomware as a Service),(Citation: SecureWorks BRONZE STARLIGHT Ransomware Operations June 2022),(Citation: Dell SecureWorks BRONZE STARLIGHT Profile),(Citation: Microsoft Ransomware as a Service),(Citation: Sygnia Emperor Dragonfly October 2022),(Citation: SecureWorks BRONZE STARLIGHT Ransomware Operations June 2022),(Citation: Microsoft Log4j Vulnerability Exploitation December 2021),"
G0003,intrusion-set--8f5e8dc7-739d-4f5e-a8a1-a66e004d7063,Cleaver,[Cleaver](https://attack.mitre.org/groups/G0003) is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. (Citation: Cylance Cleaver) Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). (Citation: Dell Threat Group 2889),https://attack.mitre.org/groups/G0003,31 May 2017,22 July 2022,enterprise-attack,1.3,,"TG-2889, Threat Group 2889","(Citation: Dell Threat Group 2889), (Citation: Dell Threat Group 2889)","(Citation: Cylance Cleaver),(Citation: Cylance Cleaver),(Citation: Dell Threat Group 2889),"
G0080,intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,Cobalt Group,"[Cobalt Group](https://attack.mitre.org/groups/G0080) is a financially motivated threat group that has primarily targeted financial institutions since at least 2016. The group has conducted intrusions to steal money via targeting ATM systems, card processing, payment systems and SWIFT systems. [Cobalt Group](https://attack.mitre.org/groups/G0080) has mainly targeted banks in Eastern Europe, Central Asia, and Southeast Asia. One of the alleged leaders was arrested in Spain in early 2018, but the group still appears to be active. The group has been known to target organizations in order to use their access to then compromise additional victims.(Citation: Talos Cobalt Group July 2018)(Citation: PTSecurity Cobalt Group Aug 2017)(Citation: PTSecurity Cobalt Dec 2016)(Citation: Group IB Cobalt Aug 2017)(Citation: Proofpoint Cobalt June 2017)(Citation: RiskIQ Cobalt Nov 2017)(Citation: RiskIQ Cobalt Jan 2018) Reporting indicates there may be links between [Cobalt Group](https://attack.mitre.org/groups/G0080) and both the malware [Carbanak](https://attack.mitre.org/software/S0030) and the group [Carbanak](https://attack.mitre.org/groups/G0008).(Citation: Europol Cobalt Mar 2018)",https://attack.mitre.org/groups/G0080,17 October 2018,22 March 2023,enterprise-attack,2.1,,"Cobalt Gang, Cobalt Spider, GOLD KINGSWOOD","(Citation: Talos Cobalt Group July 2018) (Citation: Crowdstrike Global Threat Report Feb 2018)(Citation: Morphisec Cobalt Gang Oct 2018), (Citation: Crowdstrike Global Threat Report Feb 2018), (Citation: Secureworks GOLD KINGSWOOD September 2018)","(Citation: Group IB Cobalt Aug 2017),(Citation: Secureworks GOLD KINGSWOOD September 2018),(Citation: RiskIQ Cobalt Nov 2017),(Citation: Talos Cobalt Group July 2018),(Citation: Crowdstrike Global Threat Report Feb 2018),(Citation: TrendMicro Cobalt Group Nov 2017),(Citation: PTSecurity Cobalt Group Aug 2017),(Citation: Proofpoint Cobalt June 2017),(Citation: RiskIQ Cobalt Jan 2018),(Citation: PTSecurity Cobalt Dec 2016),(Citation: Crowdstrike GTR2020 Mar 2020),(Citation: Group IB Cobalt Aug 2017),(Citation: Secureworks GOLD KINGSWOOD September 2018),(Citation: Talos Cobalt Group July 2018),(Citation: Morphisec Cobalt Gang Oct 2018),(Citation: RiskIQ Cobalt Nov 2017),(Citation: Crowdstrike Global Threat Report Feb 2018),(Citation: TrendMicro Cobalt Group Nov 2017),(Citation: PTSecurity Cobalt Group Aug 2017),(Citation: Proofpoint Cobalt June 2017),(Citation: RiskIQ Cobalt Jan 2018),(Citation: PTSecurity Cobalt Dec 2016),(Citation: Unit 42 Cobalt Gang Oct 2018),(Citation: Crowdstrike GTR2020 Mar 2020),"
G0142,intrusion-set--6eded342-33e5-4451-b6b2-e1c62863129f,Confucius,"[Confucius](https://attack.mitre.org/groups/G0142) is a cyber espionage group that has primarily targeted military personnel, high-profile personalities, business persons, and government organizations in South Asia since at least 2013. Security researchers have noted similarities between [Confucius](https://attack.mitre.org/groups/G0142) and [Patchwork](https://attack.mitre.org/groups/G0040), particularly in their respective custom malware code and targets.(Citation: TrendMicro Confucius APT Feb 2018)(Citation: TrendMicro Confucius APT Aug 2021)(Citation: Uptycs Confucius APT Jan 2021)",https://attack.mitre.org/groups/G0142,26 December 2021,22 September 2023,"enterprise-attack,mobile-attack",1.1,,Confucius APT,,"(Citation: Uptycs Confucius APT Jan 2021),(Citation: Check Point Warzone Feb 2020),(Citation: Uptycs Confucius APT Jan 2021),(Citation: TrendMicro Confucius APT Aug 2021),(Citation: TrendMicro Confucius APT Feb 2018),"
G0052,intrusion-set--dcd81c6e-ebf7-4a16-93e0-9a97fa49c88a,CopyKittens,"[CopyKittens](https://attack.mitre.org/groups/G0052) is an Iranian cyber espionage group that has been operating since at least 2013. It has targeted countries including Israel, Saudi Arabia, Turkey, the U.S., Jordan, and Germany. The group is responsible for the campaign known as Operation Wilted Tulip.(Citation: ClearSky CopyKittens March 2017)(Citation: ClearSky Wilted Tulip July 2017)(Citation: CopyKittens Nov 2015)",https://attack.mitre.org/groups/G0052,16 January 2018,08 August 2022,enterprise-attack,1.6,,,,"(Citation: ClearSky Wilted Tulip July 2017),(Citation: CopyKittens Nov 2015),(Citation: Microsoft POLONIUM June 2022),(Citation: ClearSky Wilted Tulip July 2017),(Citation: ClearSky and Trend Micro Operation Wilted Tulip July 2017),"
G1034,intrusion-set--f3be6240-f68e-47e1-90d2-ad8f3b3bb8a6,Daggerfly,"[Daggerfly](https://attack.mitre.org/groups/G1034) is a People's Republic of China-linked APT entity active since at least 2012. [Daggerfly](https://attack.mitre.org/groups/G1034) has targeted individuals, government and NGO entities, and telecommunication companies in Asia and Africa. [Daggerfly](https://attack.mitre.org/groups/G1034) is associated with exclusive use of [MgBot](https://attack.mitre.org/software/S1146) malware and is noted for several potential supply chain infection campaigns.(Citation: Symantec Daggerfly 2023)(Citation: ESET EvasivePanda 2023)(Citation: Symantec Daggerfly 2024)(Citation: ESET EvasivePanda 2024)",https://attack.mitre.org/groups/G1034,25 July 2024,31 October 2024,enterprise-attack,1.0,"Furkan Celik, PURE7","BRONZE HIGHLAND, Evasive Panda","(Citation: Symantec Daggerfly 2023)(Citation: ESET EvasivePanda 2024), (Citation: Symantec Daggerfly 2023)(Citation: ESET EvasivePanda 2024)","(Citation: Symantec Daggerfly 2023),(Citation: ESET EvasivePanda 2024),(Citation: ESET EvasivePanda 2023),(Citation: Symantec Daggerfly 2024),(Citation: ESET EvasivePanda 2023),(Citation: ESET EvasivePanda 2024),(Citation: Symantec Daggerfly 2023),"
G0070,intrusion-set--8a831aaa-f3e0-47a3-bed8-a9ced744dd12,Dark Caracal,[Dark Caracal](https://attack.mitre.org/groups/G0070) is threat group that has been attributed to the Lebanese General Directorate of General Security (GDGS) and has operated since at least 2012. (Citation: Lookout Dark Caracal Jan 2018),https://attack.mitre.org/groups/G0070,17 October 2018,11 April 2024,"enterprise-attack,mobile-attack",1.4,,,,"(Citation: Lookout Dark Caracal Jan 2018),(Citation: CheckPoint Bandook Nov 2020),(Citation: Lookout Dark Caracal Jan 2018),"
G0079,intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01,DarkHydrus,[DarkHydrus](https://attack.mitre.org/groups/G0079) is a threat group that has targeted government agencies and educational institutions in the Middle East since at least 2016. The group heavily leverages open-source tools and custom payloads for carrying out attacks. (Citation: Unit 42 DarkHydrus July 2018) (Citation: Unit 42 Playbook Dec 2017),https://attack.mitre.org/groups/G0079,17 October 2018,12 October 2021,enterprise-attack,1.3,"Oleg Skulkin, Group-IB",,,"(Citation: Unit 42 DarkHydrus July 2018),(Citation: Unit42 DarkHydrus Jan 2019),(Citation: Unit 42 Playbook Dec 2017),(Citation: Unit 42 DarkHydrus July 2018),(Citation: Unit 42 Phishery Aug 2018),(Citation: Unit 42 Playbook Dec 2017),"
G0105,intrusion-set--813636db-3939-4a45-bea9-6113e970c029,DarkVishnya,[DarkVishnya](https://attack.mitre.org/groups/G0105) is a financially motivated threat actor targeting financial institutions in Eastern Europe. In 2017-2018 the group attacked at least 8 banks in this region.(Citation: Securelist DarkVishnya Dec 2018),https://attack.mitre.org/groups/G0105,15 May 2020,12 October 2021,enterprise-attack,1.1,,,,"(Citation: Securelist DarkVishnya Dec 2018),(Citation: Securelist DarkVishnya Dec 2018),"
G0012,intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383,Darkhotel,[Darkhotel](https://attack.mitre.org/groups/G0012) is a suspected South Korean threat group that has targeted victims primarily in East Asia since at least 2004. The group's name is based on cyber espionage operations conducted via hotel Internet networks against traveling executives and other select guests. [Darkhotel](https://attack.mitre.org/groups/G0012) has also conducted spearphishing campaigns and infected victims through peer-to-peer and file sharing networks.(Citation: Kaspersky Darkhotel)(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft Digital Defense FY20 Sept 2020),https://attack.mitre.org/groups/G0012,31 May 2017,08 January 2024,enterprise-attack,3.0,"Harry Kim, CODEMIZE","DUBNIUM, Zigzag Hail","(Citation: Microsoft Digital Defense FY20 Sept 2020)(Citation: Microsoft DUBNIUM June 2016)(Citation: Microsoft DUBNIUM Flash June 2016)(Citation: Microsoft DUBNIUM July 2016), (Citation: Microsoft Threat Actor Naming July 2023)",",(Citation: Microsoft DUBNIUM July 2016),(Citation: Microsoft DUBNIUM June 2016),(Citation: Securelist Darkhotel Aug 2015),(Citation: Kaspersky Darkhotel),(Citation: Lastline DarkHotel Just In Time Decryption Nov 2015),"
G0009,intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,Deep Panda,"[Deep Panda](https://attack.mitre.org/groups/G0009) is a suspected Chinese threat group known to target many industries, including government, defense, financial, and telecommunications. (Citation: Alperovitch 2014) The intrusion into healthcare company Anthem has been attributed to [Deep Panda](https://attack.mitre.org/groups/G0009). (Citation: ThreatConnect Anthem) This group is also known as Shell Crew, WebMasters, KungFu Kittens, and PinkPanther. (Citation: RSA Shell Crew) [Deep Panda](https://attack.mitre.org/groups/G0009) also appears to be known as Black Vine based on the attribution of both group names to the Anthem intrusion. (Citation: Symantec Black Vine) Some analysts track [Deep Panda](https://attack.mitre.org/groups/G0009) and [APT19](https://attack.mitre.org/groups/G0073) as the same group, but it is unclear from open source information if the groups are the same. (Citation: ICIT China's Espionage Jul 2016)",https://attack.mitre.org/groups/G0009,31 May 2017,20 July 2022,enterprise-attack,1.2,"Andrew Smith, @jakx_","Black Vine, KungFu Kittens, PinkPanther, Shell Crew, WebMasters","(Citation: Symantec Black Vine), (Citation: RSA Shell Crew), (Citation: RSA Shell Crew), (Citation: RSA Shell Crew), (Citation: RSA Shell Crew)","(Citation: ThreatConnect Anthem),(Citation: Symantec Black Vine),(Citation: Cylance Shell Crew Feb 2017),(Citation: Alperovitch 2014),(Citation: Symantec Black Vine),(Citation: CrowdStrike Deep Panda Web Shells),(Citation: Alperovitch 2014),(Citation: RSA Shell Crew),"
G0017,intrusion-set--f3bdec95-3d62-42d9-a840-29630f6cdc1a,DragonOK,"[DragonOK](https://attack.mitre.org/groups/G0017) is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar custom tools, [DragonOK](https://attack.mitre.org/groups/G0017) is thought to have a direct or indirect relationship with the threat group [Moafee](https://attack.mitre.org/groups/G0002). (Citation: Operation Quantum Entanglement) It is known to use a variety of malware, including Sysget/HelloBridge, PlugX, PoisonIvy, FormerFirstRat, NFlog, and NewCT. (Citation: New DragonOK)",https://attack.mitre.org/groups/G0017,31 May 2017,22 March 2019,enterprise-attack,1.0,,,,"(Citation: Operation Quantum Entanglement),(Citation: New DragonOK),,"
G0035,intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,Dragonfly,"[Dragonfly](https://attack.mitre.org/groups/G0035) is a cyber espionage group that has been attributed to Russia's Federal Security Service (FSB) Center 16.(Citation: DOJ Russia Targeting Critical Infrastructure March 2022)(Citation: UK GOV FSB Factsheet April 2022) Active since at least 2010, [Dragonfly](https://attack.mitre.org/groups/G0035) has targeted defense and aviation companies, government entities, companies related to industrial control systems, and critical infrastructure sectors worldwide through supply chain, spearphishing, and drive-by compromise attacks.(Citation: Symantec Dragonfly)(Citation: Secureworks IRON LIBERTY July 2019)(Citation: Symantec Dragonfly Sept 2017)(Citation: Fortune Dragonfly 2.0 Sept 2017)(Citation: Gigamon Berserk Bear October 2021)(Citation: CISA AA20-296A Berserk Bear December 2020)(Citation: Symantec Dragonfly 2.0 October 2017)",https://attack.mitre.org/groups/G0035,31 May 2017,08 January 2024,"enterprise-attack,ics-attack",4.0,Dragos Threat Intelligence,"BROMINE, Berserk Bear, Crouching Yeti, DYMALLOY, Energetic Bear, Ghost Blizzard, IRON LIBERTY, TEMP.Isotope, TG-4192","(Citation: Microsoft Threat Actor Naming July 2023), (Citation: Gigamon Berserk Bear October 2021)(Citation: DOJ Russia Targeting Critical Infrastructure March 2022)(Citation: UK GOV FSB Factsheet April 2022), (Citation: Secureworks IRON LIBERTY July 2019)(Citation: Gigamon Berserk Bear October 2021)(Citation: DOJ Russia Targeting Critical Infrastructure March 2022)(Citation: UK GOV FSB Factsheet April 2022), (Citation: Dragos DYMALLOY )(Citation: UK GOV FSB Factsheet April 2022), (Citation: Symantec Dragonfly)(Citation: Secureworks IRON LIBERTY July 2019)(Citation: Secureworks MCMD July 2019)(Citation: Secureworks Karagany July 2019)(Citation: Gigamon Berserk Bear October 2021)(Citation: DOJ Russia Targeting Critical Infrastructure March 2022)(Citation: UK GOV FSB Factsheet April 2022), (Citation: Microsoft Threat Actor Naming July 2023), (Citation: Secureworks IRON LIBERTY July 2019)(Citation: Secureworks MCMD July 2019)(Citation: Secureworks Karagany July 2019)(Citation: UK GOV FSB Factsheet April 2022), (Citation: Mandiant Ukraine Cyber Threats January 2022)(Citation: Gigamon Berserk Bear October 2021), (Citation: Secureworks IRON LIBERTY July 2019)(Citation: UK GOV FSB Factsheet April 2022)","(Citation: Symantec Dragonfly),(Citation: Core Security Impacket),(Citation: Secureworks Karagany July 2019),(Citation: Gigamon Berserk Bear October 2021),(Citation: US-CERT TA18-074A),(Citation: Secureworks MCMD July 2019),(Citation: Symantec Dragonfly Sept 2017),(Citation: Secureworks IRON LIBERTY July 2019),(Citation: Core Security Impacket),(Citation: Gigamon Berserk Bear October 2021),(Citation: CISA AA20-296A Berserk Bear December 2020),(Citation: Kali Hydra),(Citation: US-CERT TA18-074A),(Citation: Symantec Dragonfly Sept 2017),(Citation: Secureworks IRON LIBERTY July 2019),"
G1011,intrusion-set--129f2f77-1ab2-4c35-bd5e-21260cee92af,EXOTIC LILY,"[EXOTIC LILY](https://attack.mitre.org/groups/G1011) is a financially motivated group that has been closely linked with [Wizard Spider](https://attack.mitre.org/groups/G0102) and the deployment of ransomware including [Conti](https://attack.mitre.org/software/S0575) and [Diavol](https://attack.mitre.org/software/S0659). [EXOTIC LILY](https://attack.mitre.org/groups/G1011) may be acting as an initial access broker for other malicious actors, and has targeted a wide range of industries including IT, cybersecurity, and healthcare since at least September 2021.(Citation: Google EXOTIC LILY March 2022)",https://attack.mitre.org/groups/G1011,18 August 2022,24 October 2022,enterprise-attack,1.0,"Phill Taylor, BT Security",,,"(Citation: Google EXOTIC LILY March 2022),(Citation: Proofpoint Bumblebee April 2022),(Citation: Google EXOTIC LILY March 2022),"
G1006,intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,Earth Lusca,"[Earth Lusca](https://attack.mitre.org/groups/G1006) is a suspected China-based cyber espionage group that has been active since at least April 2019. [Earth Lusca](https://attack.mitre.org/groups/G1006) has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States. Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some [Earth Lusca](https://attack.mitre.org/groups/G1006) operations may be financially motivated.(Citation: TrendMicro EarthLusca 2022)

[Earth Lusca](https://attack.mitre.org/groups/G1006) has used malware commonly used by other Chinese threat groups, including [APT41](https://attack.mitre.org/groups/G0096) and the [Winnti Group](https://attack.mitre.org/groups/G0044) cluster, however security researchers assess [Earth Lusca](https://attack.mitre.org/groups/G1006)'s techniques and infrastructure are separate.(Citation: TrendMicro EarthLusca 2022)",https://attack.mitre.org/groups/G1006,01 July 2022,16 September 2024,"enterprise-attack,mobile-attack",2.0,,"CHROMIUM, Charcoal Typhoon, ControlX, TAG-22","(Citation: Microsoft Threat Actor Naming July 2023) (Citation: Recorded Future RedHotel August 2023), (Citation: Microsoft Threat Actor Naming July 2023), (Citation: Microsoft Threat Actor Naming July 2023), (Citation: Recorded Future TAG-22 July 2021)","(Citation: TrendMicro EarthLusca 2022),(Citation: TrendMicro EarthLusca 2022),"
G0066,intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,Elderwood,"[Elderwood](https://attack.mitre.org/groups/G0066) is a suspected Chinese cyber espionage group that was reportedly responsible for the 2009 Google intrusion known as Operation Aurora. (Citation: Security Affairs Elderwood Sept 2012) The group has targeted defense organizations, supply chain manufacturers, human rights and nongovernmental organizations (NGOs), and IT service providers. (Citation: Symantec Elderwood Sept 2012) (Citation: CSM Elderwood Sept 2012)",https://attack.mitre.org/groups/G0066,18 April 2018,11 April 2024,enterprise-attack,1.3,"Valerii Marchuk, Cybersecurity Help s.r.o.","Beijing Group, Elderwood Gang, Sneaky Panda","(Citation: CSM Elderwood Sept 2012), (Citation: Symantec Elderwood Sept 2012) (Citation: CSM Elderwood Sept 2012), (Citation: CSM Elderwood Sept 2012)","(Citation: Symantec Elderwood Sept 2012),(Citation: Symantec Ristol May 2012),(Citation: CSM Elderwood Sept 2012),(Citation: Security Affairs Elderwood Sept 2012),(Citation: Symantec Elderwood Sept 2012),"
G1003,intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,Ember Bear,"[Ember Bear](https://attack.mitre.org/groups/G1003) is a Russian state-sponsored cyber espionage group that has been active since at least 2020, linked to Russia's General Staff Main Intelligence Directorate (GRU) 161st Specialist Training Center (Unit 29155).(Citation: CISA GRU29155 2024) [Ember Bear](https://attack.mitre.org/groups/G1003) has primarily focused operations against Ukrainian government and telecommunication entities, but has also operated against critical infrastructure entities in Europe and the Americas.(Citation: Cadet Blizzard emerges as novel threat actor) [Ember Bear](https://attack.mitre.org/groups/G1003) conducted the [WhisperGate](https://attack.mitre.org/software/S0689) destructive wiper attacks against Ukraine in early 2022.(Citation: CrowdStrike Ember Bear Profile March 2022)(Citation: Mandiant UNC2589 March 2022)(Citation: CISA GRU29155 2024) There is some confusion as to whether [Ember Bear](https://attack.mitre.org/groups/G1003) overlaps with another Russian-linked entity referred to as [Saint Bear](https://attack.mitre.org/groups/G1031). At present available evidence strongly suggests these are distinct activities with different behavioral profiles.(Citation: Cadet Blizzard emerges as novel threat actor)(Citation: Palo Alto Unit 42 OutSteel SaintBot February 2022 )",https://attack.mitre.org/groups/G1003,09 June 2022,06 September 2024,enterprise-attack,2.0,"Hannah Simes, BT Security","Bleeding Bear, Cadet Blizzard, DEV-0586, Frozenvista, UAC-0056, UNC2589","(Citation: CrowdStrike Ember Bear Profile March 2022), (Citation: Cadet Blizzard emerges as novel threat actor), (Citation: Cadet Blizzard emerges as novel threat actor), (Citation: CISA GRU29155 2024), (Citation: CISA GRU29155 2024), (Citation: Mandiant UNC2589 March 2022)","(Citation: Cadet Blizzard emerges as novel threat actor),(Citation: CISA GRU29155 2024),(Citation: Mandiant UNC2589 March 2022),(Citation: CrowdStrike Ember Bear Profile March 2022),(Citation: Cadet Blizzard emerges as novel threat actor),(Citation: CISA GRU29155 2024),"
G0020,intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9,Equation,[Equation](https://attack.mitre.org/groups/G0020) is a sophisticated threat group that employs multiple remote access tools. The group is known to use zero-day exploits and has developed the capability to overwrite the firmware of hard disk drives. (Citation: Kaspersky Equation QA),https://attack.mitre.org/groups/G0020,31 May 2017,29 June 2020,enterprise-attack,1.2,,,,",(Citation: Kaspersky Gauss Whitepaper),(Citation: Kaspersky Equation QA),"
G0120,intrusion-set--1f0f9a14-11aa-49aa-9174-bcd0eaa979de,Evilnum,[Evilnum](https://attack.mitre.org/groups/G0120) is a financially motivated threat group that has been active since at least 2018.(Citation: ESET EvilNum July 2020),https://attack.mitre.org/groups/G0120,22 January 2021,27 April 2021,enterprise-attack,1.0,,,,"(Citation: Prevailion EvilNum May 2020),(Citation: ESET EvilNum July 2020),(Citation: ESET EvilNum July 2020),"
G0051,intrusion-set--fbe9387f-34e6-4828-ac28-3080020c597b,FIN10,[FIN10](https://attack.mitre.org/groups/G0051) is a financially motivated threat group that has targeted organizations in North America since at least 2013 through 2016. The group uses stolen data exfiltrated from victims to extort organizations. (Citation: FireEye FIN10 June 2017),https://attack.mitre.org/groups/G0051,14 December 2017,26 May 2021,enterprise-attack,1.3,,,,"(Citation: FireEye FIN10 June 2017),(Citation: Github PowerShell Empire),(Citation: FireEye FIN10 June 2017),"
G1016,intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,FIN13,"[FIN13](https://attack.mitre.org/groups/G1016) is a financially motivated cyber threat group that has targeted the financial, retail, and hospitality industries in Mexico and Latin America, as early as 2016. [FIN13](https://attack.mitre.org/groups/G1016) achieves its objectives by stealing intellectual property, financial data, mergers and acquisition information, or PII.(Citation: Mandiant FIN13 Aug 2022)(Citation: Sygnia Elephant Beetle Jan 2022)",https://attack.mitre.org/groups/G1016,27 July 2023,29 September 2023,enterprise-attack,1.0,"Noam Lifshitz, Sygnia; Oren Biderman, Sygnia",Elephant Beetle,(Citation: Sygnia Elephant Beetle Jan 2022),"(Citation: Sygnia Elephant Beetle Jan 2022),(Citation: Mandiant FIN13 Aug 2022),(Citation: Sygnia Elephant Beetle Jan 2022),(Citation: Mandiant FIN13 Aug 2022),"
G0085,intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6,FIN4,"[FIN4](https://attack.mitre.org/groups/G0085) is a financially-motivated threat group that has targeted confidential information related to the public financial market, particularly regarding healthcare and pharmaceutical companies, since at least 2013.(Citation: FireEye Hacking FIN4 Dec 2014)(Citation: FireEye FIN4 Stealing Insider NOV 2014) [FIN4](https://attack.mitre.org/groups/G0085) is unique in that they do not infect victims with typical persistent malware, but rather they focus on capturing credentials authorized to access email and other non-public correspondence.(Citation: FireEye Hacking FIN4 Dec 2014)(Citation: FireEye Hacking FIN4 Video Dec 2014)",https://attack.mitre.org/groups/G0085,31 January 2019,01 February 2023,enterprise-attack,1.2,,,,",(Citation: FireEye Hacking FIN4 Video Dec 2014),(Citation: FireEye Hacking FIN4 Dec 2014),"
G0053,intrusion-set--85403903-15e0-4f9f-9be4-a259ecad4022,FIN5,"[FIN5](https://attack.mitre.org/groups/G0053) is a financially motivated threat group that has targeted personally identifiable information and payment card information. The group has been active since at least 2008 and has targeted the restaurant, gaming, and hotel industries. The group is made up of actors who likely speak Russian. (Citation: FireEye Respond Webinar July 2017) (Citation: Mandiant FIN5 GrrCON Oct 2016) (Citation: DarkReading FireEye FIN5 Oct 2015)",https://attack.mitre.org/groups/G0053,16 January 2018,16 October 2021,enterprise-attack,1.2,Walker Johnson,,,"(Citation: Mandiant FIN5 GrrCON Oct 2016),(Citation: DarkReading FireEye FIN5 Oct 2015),(Citation: Mandiant FIN5 GrrCON Oct 2016),(Citation: FireEye Respond Webinar July 2017),(Citation: DarkReading FireEye FIN5 Oct 2015),"
G0037,intrusion-set--2a7914cf-dff3-428d-ab0f-1014d1c28aeb,FIN6,[FIN6](https://attack.mitre.org/groups/G0037) is a cyber crime group that has stolen payment card data and sold it for profit on underground marketplaces. This group has aggressively targeted and compromised point of sale (PoS) systems in the hospitality and retail sectors.(Citation: FireEye FIN6 April 2016)(Citation: FireEye FIN6 Apr 2019),https://attack.mitre.org/groups/G0037,31 May 2017,08 January 2024,"enterprise-attack,ics-attack",4.0,"Center for Threat-Informed Defense (CTID); Drew Church, Splunk","Camouflage Tempest, ITG08, Magecart Group 6, Skeleton Spider, TAAL","(Citation: Microsoft Threat Actor Naming July 2023), (Citation: Security Intelligence More Eggs Aug 2019), (Citation: Security Intelligence ITG08 April 2020), (Citation: Crowdstrike Global Threat Report Feb 2018), (Citation: Microsoft Threat Actor Naming July 2023)","(Citation: Visa FIN6 Feb 2019),(Citation: SentinelOne FrameworkPOS September 2019),(Citation: Crowdstrike Global Threat Report Feb 2018),(Citation: FireEye FIN6 April 2016),(Citation: Group IB GrimAgent July 2021),(Citation: Security Intelligence More Eggs Aug 2019),(Citation: FireEye FIN6 Apr 2019),(Citation: FireEye Maze May 2020),(Citation: Visa FIN6 Feb 2019),(Citation: RiskIQ British Airways September 2018),(Citation: RiskIQ Newegg September 2018),(Citation: FireEye FIN6 April 2016),(Citation: Trend Micro FIN6 October 2019),(Citation: Security Intelligence More Eggs Aug 2019),(Citation: FireEye FIN6 Apr 2019),"
